id,name,score,review_count,rating,url,city,is_closed,review_count_tiers,rating_tiers
LRLkFtnJvNjmcV_G-dgqmA,Naschmarkt - Campbell,9,1475,4.5,https://www.yelp.com/biz/naschmarkt-campbell-campbell-3?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,Campbell,FALSE,3,3
YwBw5RE9BCB1Kuq863t1hg,King's Fish House - San Jose,6,2270,4.2,https://www.yelp.com/biz/kings-fish-house-san-jose-san-jose?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,San Jose,FALSE,3,2
XsE2L-fhUblfhz-LP-qQvQ,Danbi Korean Restaurant,6,801,4.3,https://www.yelp.com/biz/danbi-korean-restaurant-san-jose?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,San Jose,FALSE,3,2
#NAME?,The City Fish,6,1320,4.3,https://www.yelp.com/biz/the-city-fish-san-jose?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,San Jose,FALSE,3,2
ufL5FI9cZRN34INXZONoaQ,Wild Rose Eatery and Bar,6,743,4.4,https://www.yelp.com/biz/wild-rose-eatery-and-bar-campbell-2?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,Campbell,FALSE,3,2
wNLTGsHB8eNv0itXv-CpXA,Bloom,6,1472,4.3,https://www.yelp.com/biz/bloom-santa-clara?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,Santa Clara,FALSE,3,2
LY4CcXCEK4HMjtUpkTellg,Water Tower Kitchen,6,980,4.3,https://www.yelp.com/biz/water-tower-kitchen-campbell?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,Campbell,FALSE,3,2
Ahga5g0HufU_G7S1n8WL8g,Trattoria 360,6,612,4.6,https://www.yelp.com/biz/trattoria-360-campbell?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,Campbell,FALSE,2,3
rjUOwXNxsg0tstFssAjfsQ,LUNA Mexican Kitchen - The Alameda,6,2898,4.3,https://www.yelp.com/biz/luna-mexican-kitchen-the-alameda-san-jose?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,San Jose,FALSE,3,2
dnVOsjGEfn8MWggENKUopQ,Puesto Santa Clara,6,3110,4.2,https://www.yelp.com/biz/puesto-santa-clara-santa-clara-2?adjust_creative=tmUqKlSRrxKQb-XA7OEmOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tmUqKlSRrxKQb-XA7OEmOQ,Santa Clara,FALSE,3,2
